SI_0102.PGtoVolt:                        pol2:-0.182404,2.761316e-3,-4339.669881e-12
SI_0103.PGtoVolt:                        pol2:-0.167393,2.691844e-3,-3168.191926e-12
SI_0104.PGtoVolt:                        pol2:-0.167266,2.737175e-3,57.586795e-12
SI_0105.PGtoVolt:                        pol2:-0.166450,2.700933e-3,1757.011995e-12
SI_0106.PGtoVolt:                        pol2:-0.167438,2.709181e-3,1032.634433e-12
SI_0107.PGtoVolt:                        pol2:-0.164064,2.700992e-3,656.768930e-12
SI_0108.PGtoVolt:                        pol2:-0.151973,2.773792e-3,-5654.627565e-12
SI_0109.PGtoVolt:                        pol2:-0.176149,2.709763e-3,1524.065455e-12
SI_0110.PGtoVolt:                        pol2:-0.173219,2.714297e-3,860.816796e-12
SI_0111.PGtoVolt:                        pol2:-0.176066,2.722406e-3,2055.056082e-12
SI_0112.PGtoVolt:                        pol2:-0.169031,2.724846e-3,3709.957258e-12
SI_0201.PGtoVolt:                        pol2:-0.187752,2.873894e-3,764.634393e-12
SI_0203.PGtoVolt:                        pol2:-0.181809,2.874291e-3,5913.463032e-12
SI_0205.PGtoVolt:                        pol2:-0.184533,2.853768e-3,-2736.969086e-12
SI_0207.PGtoVolt:                        pol2:-0.176954,2.846438e-3,-4864.790498e-12
SI_0209.PGtoVolt:                        pol2:-0.176535,2.862798e-3,-3128.205931e-12
SI_0211.PGtoVolt:                        pol2:-0.176739,2.836854e-3,-573.385528e-12
SI_0213.PGtoVolt:                        pol2:-0.174941,2.822987e-3,315.690948e-12
SI_0215.PGtoVolt:                        pol2:-0.166002,2.796569e-3,-369.061558e-12
SI_0217.PGtoVolt:                        pol2:-0.176457,2.796371e-3,1145.517485e-12
SI_0219.PGtoVolt:                        pol2:-0.174510,2.768846e-3,2779.660045e-12
SI_0221.PGtoVolt:                        pol2:-0.178392,2.793126e-3,1521.601338e-12
SI_0223.PGtoVolt:                        pol2:-0.167925,2.855669e-3,773.735182e-12
SI_0301.PGtoVolt:                        pol2:-0.193078,2.831501e-3,-115.713718e-12
SI_0302.PGtoVolt:                        pol2:-0.190938,2.883201e-3,97.639069e-12
SI_0303.PGtoVolt:                        pol2:-0.189404,2.819372e-3,-2192.344838e-12
SI_0304.PGtoVolt:                        pol2:-0.186310,2.871792e-3,-1758.266536e-12
SI_0305.PGtoVolt:                        pol2:-0.179175,2.834596e-3,548.914513e-12
SI_0306.PGtoVolt:                        pol2:-0.181044,2.834831e-3,-256.936556e-12
SI_0307.PGtoVolt:                        pol2:-0.182268,2.856429e-3,3340.988473e-12
